t	x1	x2
21.3000	6.21664	6.21907
21.4000	6.21702	6.21898
21.5000	6.20332	6.23908
21.6000	6.20777	6.21206
21.7000	6.21116	6.21181
21.8000	6.19479	6.19504
21.9000	6.19924	6.19247
22.0000	6.20973	6.20982
22.1000	6.18615	6.2302
22.2000	6.20253	6.20183
22.3000	6.19137	6.21229
22.4000	6.19267	6.21102
22.5000	6.19698	6.19833
22.6000	6.19335	6.20015
22.7000	6.19716	6.21255
22.8000	6.17949	6.2324
22.9000	6.1881	6.22189
23.0000	6.20142	6.21636
23.1000	6.21652	6.20977
23.2000	6.23341	6.22606
23.3000	6.21079	6.21926
23.4000	6.22059	6.21921
23.5000	6.21674	6.20983
23.6000	6.20559	6.20018
23.7000	6.20281	6.18192
23.8000	6.1792	6.20705
23.9000	6.20486	6.21723
24.0000	6.20574	6.20614
24.1000	6.2081	6.20449
24.2000	6.19153	6.20603
24.3000	6.21717	6.22609
24.4000	6.25319	6.20305
24.5000	6.21923	6.21266
24.6000	6.22527	6.21321
24.7000	6.23088	6.21964
24.8000	6.22787	6.23817
24.9000	6.22762	6.24107
25.0000	6.2257	6.24474
25.1000	6.17923	6.22829
25.2000	6.2021	6.23707
25.3000	6.19879	6.24804
25.4000	6.21458	6.25199
25.5000	6.21233	6.22251
25.6000	6.23194	6.21742
25.7000	6.21628	6.20442
25.8000	6.18073	6.20976
25.9000	6.1847	6.24987
26.0000	6.18341	6.23094
26.1000	6.21066	6.1996
26.2000	6.2193	6.19505
26.3000	6.20791	6.19215
26.4000	6.20715	6.20029
26.5000	6.18341	6.24691
26.6000	6.20879	6.23546
26.7000	6.21951	6.23418
26.8000	6.21362	6.21006
26.9000	6.20127	6.23427
27.0000	6.20336	6.24917
27.1000	6.22155	6.22289
27.2000	6.219	6.2025
27.3000	6.23623	6.20541
27.4000	6.20693	6.21253
27.5000	6.18696	6.22623
27.6000	6.1764	6.22151
27.7000	6.17935	6.2134
27.8000	6.18624	6.21106
27.9000	6.20242	6.2
28.0000	6.19952	6.20032
28.1000	6.21545	6.19987
28.2000	6.21509	6.2028
28.3000	6.21877	6.20432
28.4000	6.20422	6.22828
28.5000	6.20263	6.23112
28.6000	6.21213	6.21118
28.7000	6.19165	6.1881
28.8000	6.1796	6.21153
28.9000	6.16473	6.21341
29.0000	6.19229	6.22254
29.1000	6.21305	6.22323
29.2000	6.22124	6.21003
29.3000	6.20555	6.20565
29.4000	6.20485	6.19976
29.5000	6.19355	6.21688
29.6000	6.19675	6.2394
29.7000	6.19638	6.25694
29.8000	6.20887	6.20564
29.9000	6.21451	6.20918
30.0000	6.21684	6.21918
30.1000	6.24158	6.21552
30.2000	6.22048	6.23512
30.3000	6.1842	6.21801
30.4000	6.18819	6.2175
30.5000	6.20863	6.22432
30.6000	6.20054	6.23524
30.7000	6.20889	6.22872
30.8000	6.19869	6.25121
30.9000	6.19876	6.24101
31.0000	6.21091	6.23816
31.1000	6.22189	6.22478
31.2000	6.21338	6.24461
31.3000	6.24287	6.26543
31.4000	6.2614	6.26289
31.5000	6.2524	6.2425
31.6000	6.21795	6.20706
31.7000	6.183	6.20525
31.8000	6.18333	6.2228
31.9000	6.21376	6.21477
32.0000	6.21224	6.21036
32.1000	6.22707	6.22712
32.2000	6.22562	6.22884
32.3000	6.21432	6.22021
32.4000	6.2047	6.21482
32.5000	6.20583	6.20356
32.6000	6.21386	6.20492
32.7000	6.22071	6.22197
32.8000	6.21237	6.2256
32.9000	6.2112	6.21573
33.0000	6.22585	6.22206
33.1000	6.20087	6.22791
33.2000	6.2125	6.23503
33.3000	6.24571	6.21999
33.4000	6.25067	6.23219
33.5000	6.24508	6.24032
33.6000	6.21832	6.22379
33.7000	6.21809	6.24114
33.8000	6.22076	6.24176
33.9000	6.20884	6.22674
34.0000	6.20451	6.21623
34.1000	6.20951	6.21722
34.2000	6.21137	6.24364
34.3000	6.19576	6.21646
34.4000	6.19991	6.2178
34.5000	6.22014	6.23497
34.6000	6.22758	6.21414
34.7000	6.20822	6.22939
34.8000	6.22433	6.24909
34.9000	6.20672	6.24801
35.0000	6.2123	6.22845
35.1000	6.2268	6.19444
35.2000	6.22457	6.20752
35.3000	6.20099	6.21903
35.4000	6.17703	6.24458
35.5000	6.19221	6.22655
35.6000	6.20638	6.23323
35.7000	6.22166	6.22142
35.8000	6.24101	6.22113
35.9000	6.22682	6.20831
36.0000	6.22697	6.21119
36.1000	6.23806	6.2371
36.2000	6.23399	6.22955
36.3000	6.20869	6.21974
36.4000	6.21987	6.20783
36.5000	6.23005	6.22019
36.6000	6.22348	6.21078
36.7000	6.21828	6.20487
36.8000	6.21764	6.21293
36.9000	6.21032	6.21929
37.0000	6.21801	6.23572
37.1000	6.22689	6.22071
37.2000	6.22857	6.21604
37.3000	6.21559	6.22681
37.4000	6.1968	6.22364
37.5000	6.23025	6.2275
37.6000	6.24007	6.22878
37.7000	6.2105	6.22946
37.8000	6.19428	6.22456
37.9000	6.18388	6.23299
38.0000	6.23522	6.24918
38.1000	6.26987	6.23635
38.2000	6.25431	6.22078
38.3000	6.22978	6.21545
38.4000	6.23106	6.21919
38.5000	6.21659	6.22239
38.6000	6.20696	6.22651
38.7000	6.18563	6.23911
38.8000	6.20204	6.20987
38.9000	6.20489	6.21242
39.0000	6.21008	6.20677
39.1000	6.20601	6.21426
39.2000	6.20906	6.2266
39.3000	6.20136	6.23863
39.4000	6.20164	6.23183
39.5000	6.21096	6.24144
39.6000	6.2311	6.23165
39.7000	6.2463	6.24275
39.8000	6.22167	6.22694
39.9000	6.22108	6.23258
40.0000	6.19586	6.26227
40.1000	6.19655	6.26291
40.2000	6.18386	6.23282
40.3000	6.19146	6.23372
40.4000	6.22403	6.23509
40.5000	6.24096	6.22142
40.6000	6.23009	6.24407
40.7000	6.24414	6.23722
40.8000	6.22278	6.23798
40.9000	6.23061	6.22707
41.0000	6.25098	6.22808
41.1000	6.25812	6.22639
41.2000	6.23889	6.21878
41.3000	6.23817	6.21261
41.4000	6.21884	6.20024
41.5000	6.21217	6.21017
41.6000	6.20246	6.22126
41.7000	6.22085	6.23255
41.8000	6.23976	6.23928
41.9000	6.24394	6.22059
42.0000	6.24795	6.21687
42.1000	6.23196	6.23858
42.2000	6.24861	6.2538
42.3000	6.23423	6.25348
42.4000	6.2325	6.24919
42.5000	6.23617	6.23891
42.6000	6.21072	6.22588
42.7000	6.21421	6.2215
42.8000	6.23365	6.24166
42.9000	6.24005	6.24003
43.0000	6.2199	6.23225
43.1000	6.21932	6.23547
43.2000	6.21564	6.23025
43.3000	6.23199	6.23787
43.4000	6.23973	6.20948
43.5000	6.22005	6.19711
43.6000	6.1982	6.21798
43.7000	6.20669	6.24903
43.8000	6.24081	6.24585
43.9000	6.24857	6.25831
44.0000	6.23385	6.2343
44.1000	6.2351	6.22484
44.2000	6.23713	6.23707
44.3000	6.24986	6.23757
44.4000	6.26201	6.23229
44.5000	6.2542	6.23497
44.6000	6.26673	6.23133
44.7000	6.24132	6.23033
44.8000	6.22797	6.21229
44.9000	6.19988	6.21276
45.0000	6.23448	6.24016
45.1000	6.25925	6.24099
45.2000	6.24594	6.24
45.3000	6.23437	6.23273
45.4000	6.21578	6.23396
45.5000	6.24097	6.21413
45.6000	6.23503	6.20427
45.7000	6.21019	6.22696
45.8000	6.22532	6.21514
45.9000	6.23291	6.21707
46.0000	6.22157	6.22259
46.1000	6.23743	6.22202
46.2000	6.24212	6.22553
46.3000	6.24205	6.20917
46.4000	6.2387	6.20454
46.5000	6.21627	6.21383
46.6000	6.20838	6.24885
46.7000	6.23599	6.25001
46.8000	6.24222	6.25208
46.9000	6.23387	6.25762
47.0000	6.21442	6.24073
47.1000	6.19722	6.22079
47.2000	6.22091	6.22089
47.3000	6.2513	6.21378
47.4000	6.24837	6.2068
47.5000	6.21405	6.23088
47.6000	6.22476	6.23869
47.7000	6.20645	6.24762
47.8000	6.21681	6.24455
47.9000	6.2396	6.22869
48.0000	6.24528	6.21829
48.1000	6.24838	6.22047
48.2000	6.23003	6.25515
48.3000	6.21592	6.23532
48.4000	6.23674	6.23118
48.5000	6.2494	6.26412
48.6000	6.24693	6.26294
48.7000	6.23244	6.23007
48.8000	6.24256	6.23894
48.9000	6.2469	6.24894
49.0000	6.25382	6.24343
49.1000	6.22824	6.24352
49.2000	6.22835	6.23827
49.3000	6.22878	6.24706
49.4000	6.25357	6.26048
49.5000	6.26522	6.23006
49.6000	6.25674	6.21043
49.7000	6.24235	6.23638
49.8000	6.24586	6.25286
49.9000	6.25181	6.25273
50.0000	6.26315	6.25196
50.1000	6.23542	6.21375
50.2000	6.2391	6.20771
50.3000	6.24559	6.20637
50.4000	6.24993	6.2181
50.5000	6.23715	6.22997
50.6000	6.22159	6.22183
50.7000	6.20516	6.23696
50.8000	6.2258	6.2471
50.9000	6.25314	6.22063
51.0000	6.25061	6.21563
51.1000	6.26272	6.22578
51.2000	6.24487	6.23929
51.3000	6.23705	6.25563
51.4000	6.23875	6.25106
51.5000	6.22915	6.23756
51.6000	6.22899	6.21634
51.7000	6.2064	6.22241
51.8000	6.20631	6.23583
51.9000	6.23194	6.25648
52.0000	6.21163	6.2351
52.1000	6.22429	6.25695
52.2000	6.23708	6.25369
52.3000	6.24507	6.23895
52.4000	6.2527	6.21733
52.5000	6.24195	6.22965
52.6000	6.22107	6.21139
52.7000	6.2146	6.23138
52.8000	6.22094	6.24872
52.9000	6.22848	6.25268
53.0000	6.21983	6.23982
53.1000	6.21467	6.21808
53.2000	6.22232	6.20409
53.3000	6.23463	6.23145
53.4000	6.22731	6.25539
53.5000	6.22758	6.27008
53.6000	6.22095	6.2648
53.7000	6.22596	6.27663
53.8000	6.2423	6.25995
53.9000	6.24615	6.24436
54.0000	6.25153	6.25597
54.1000	6.23742	6.25337
54.2000	6.23323	6.23264
54.3000	6.23216	6.2406
54.4000	6.22102	6.25444
54.5000	6.22054	6.28442
54.6000	6.24764	6.26355
54.7000	6.26304	6.25524
54.8000	6.24784	6.25864
54.9000	6.22809	6.24612
55.0000	6.23887	6.23623
55.1000	6.2622	6.23917
55.2000	6.23949	6.23158
55.3000	6.23682	6.22835
55.4000	6.23223	6.22289
55.5000	6.25078	6.22879
55.6000	6.24379	6.24723
55.7000	6.24276	6.24416
55.8000	6.22908	6.24807
55.9000	6.23299	6.23486
56.0000	6.23563	6.26158
56.1000	6.22471	6.24511
56.2000	6.23042	6.2636
56.3000	6.24945	6.24967
56.4000	6.25547	6.23719
56.5000	6.22291	6.25733
56.6000	6.19905	6.27672
56.7000	6.21201	6.2803
56.8000	6.24228	6.26041
56.9000	6.25535	6.2497
57.0000	6.23624	6.257
57.1000	6.23495	6.25822
57.2000	6.23083	6.27603
57.3000	6.2243	6.26421
57.4000	6.26486	6.28433
57.5000	6.23894	6.28189
57.6000	6.2445	6.27275
57.7000	6.24759	6.26261
57.8000	6.25132	6.25026
57.9000	6.23322	6.25286
58.0000	6.21641	6.25209
58.1000	6.22497	6.24653
58.2000	6.23391	6.26574
58.3000	6.2298	6.27355
58.4000	6.23893	6.25968
58.5000	6.25181	6.23528
58.6000	6.25064	6.26074
58.7000	6.23619	6.27062
58.8000	6.22234	6.27505
58.9000	6.21969	6.26632
59.0000	6.23229	6.26431
59.1000	6.23884	6.23655
59.2000	6.23654	6.21256
59.3000	6.25126	6.22492
59.4000	6.24624	6.24208
59.5000	6.22746	6.26468
59.6000	6.21435	6.25454
59.7000	6.22028	6.24901
59.8000	6.23178	6.25269
59.9000	6.22895	6.26007
60.0000	6.21982	6.23835
60.1000	6.22449	6.22481
60.2000	6.23773	6.22166
60.3000	6.23168	6.25257
60.4000	6.23618	6.25005
60.5000	6.25079	6.26192
60.6000	6.24851	6.26704
60.7000	6.23472	6.25299
60.8000	6.24563	6.2658
60.9000	6.23705	6.25437
61.0000	6.23973	6.24856
61.1000	6.23828	6.24595
61.2000	6.22082	6.22698
61.3000	6.22093	6.24479
61.4000	6.24584	6.25889
61.5000	6.24927	6.25895
61.6000	6.25879	6.25677
61.7000	6.23538	6.24308
61.8000	6.23369	6.2622
61.9000	6.24034	6.26252
62.0000	6.24322	6.24707
62.1000	6.22656	6.25358
62.2000	6.25107	6.24778
62.3000	6.2675	6.251
62.4000	6.24848	6.22941
62.5000	6.23625	6.25218
62.6000	6.24647	6.2442
62.7000	6.25101	6.22366
62.8000	6.25281	6.23987
62.9000	6.2461	6.24387
63.0000	6.25987	6.2584
63.1000	6.25783	6.27143
63.2000	6.2612	6.27262
63.3000	6.25448	6.25737
63.4000	6.2646	6.22825
63.5000	6.27194	6.22018
63.6000	6.25898	6.24703
63.7000	6.2728	6.27308
63.8000	6.24987	6.27994
63.9000	6.23292	6.28008
64.0000	6.23275	6.24849
64.1000	6.22059	6.24337
64.2000	6.21986	6.25149
64.3000	6.23111	6.25195
64.4000	6.23107	6.26444
64.5000	6.24561	6.2586
64.6000	6.25047	6.28234
64.7000	6.25263	6.26649
64.8000	6.24089	6.25925
64.9000	6.22522	6.24468
65.0000	6.23282	6.22846
65.1000	6.2239	6.23873
65.2000	6.24097	6.24773
65.3000	6.2353	6.27983
65.4000	6.27073	6.25648
65.5000	6.27964	6.25573
65.6000	6.25256	6.25259
65.7000	6.24814	6.26006
65.8000	6.2551	6.23915
65.9000	6.25603	6.27375
66.0000	6.24589	6.23843
66.1000	6.23963	6.24722
66.2000	6.25108	6.21891
66.3000	6.25992	6.25456
66.4000	6.25139	6.26085
66.5000	6.239	6.25226
66.6000	6.22298	6.24743
66.7000	6.25536	6.2453
66.8000	6.24248	6.26843
66.9000	6.24275	6.25654
67.0000	6.23432	6.23563
67.1000	6.24371	6.23643
67.2000	6.25574	6.25182
67.3000	6.26706	6.25168
67.4000	6.25639	6.2493
67.5000	6.23974	6.26658
67.6000	6.24675	6.28821
67.7000	6.25189	6.27882
67.8000	6.25808	6.26639
67.9000	6.25417	6.25094
68.0000	6.26229	6.26192
68.1000	6.24185	6.23951
68.2000	6.25573	6.25835
68.3000	6.2814	6.24686
68.4000	6.26096	6.24457
68.5000	6.23754	6.22583
68.6000	6.25444	6.23911
68.7000	6.25562	6.24127
68.8000	6.28705	6.25121
68.9000	6.27846	6.26485
69.0000	6.28604	6.24417
69.1000	6.27348	6.25951
69.2000	6.23671	6.26088
69.3000	6.25427	6.25953
69.4000	6.25906	6.26773
69.5000	6.27093	6.27782
69.6000	6.27757	6.26854
69.7000	6.27019	6.24751
69.8000	6.26887	6.25361
69.9000	6.27375	6.2572
70.0000	6.26281	6.23095
70.1000	6.24335	6.23808
70.2000	6.22939	6.21309
70.3000	6.22398	6.21928
70.4000	6.22186	6.23585
70.5000	6.23284	6.25838
70.6000	6.22752	6.25636
70.7000	6.2536	6.24551
70.8000	6.26586	6.2243
70.9000	6.24727	6.2383
71.0000	6.25987	6.22346
71.1000	6.27308	6.24812
71.2000	6.28946	6.25356
71.3000	6.26518	6.25308
71.4000	6.24566	6.25877
71.5000	6.25138	6.26235
71.6000	6.24249	6.27849
71.7000	6.2406	6.27356
71.8000	6.25903	6.266
71.9000	6.28057	6.26117
72.0000	6.27075	6.23949
72.1000	6.25308	6.25598
72.2000	6.24857	6.28234
72.3000	6.25212	6.25179
72.4000	6.26963	6.2508
72.5000	6.27109	6.24554
72.6000	6.25955	6.25018
72.7000	6.25431	6.24856
72.8000	6.25875	6.23993
72.9000	6.2681	6.23824
73.0000	6.26555	6.25033
73.1000	6.27893	6.25029
73.2000	6.25881	6.23688
73.3000	6.23181	6.2282
73.4000	6.24327	6.25012
73.5000	6.25618	6.25389
73.6000	6.27083	6.24318
73.7000	6.25448	6.25669
73.8000	6.2501	6.27087
73.9000	6.25894	6.2498
74.0000	6.28021	6.24108
74.1000	6.26755	6.26793
74.2000	6.25205	6.29326
74.3000	6.26752	6.28586
74.4000	6.28331	6.27224
74.5000	6.27863	6.23175
74.6000	6.27169	6.23638
74.7000	6.25681	6.23841
74.8000	6.25679	6.28706
74.9000	6.24614	6.29329
75.0000	6.22717	6.29109
75.1000	6.25718	6.27689
75.2000	6.27301	6.2523
75.3000	6.27479	6.26404
75.4000	6.26962	6.25102
75.5000	6.25515	6.25124
75.6000	6.26203	6.26437
75.7000	6.24276	6.26983
75.8000	6.25387	6.27338
75.9000	6.24159	6.27224
76.0000	6.25725	6.24972
76.1000	6.26339	6.2467
76.2000	6.27319	6.23491
76.3000	6.26036	6.25925
76.4000	6.24582	6.26179
76.5000	6.23764	6.27094
76.6000	6.2516	6.26938
76.7000	6.24915	6.25367
76.8000	6.25716	6.23966
